##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
aberrant	pos: adjective 1. Straying from a proper course or standard: errant. 2. Departing from the normal: abnormal, anomalistic, anomalous, atypic, atypical, deviant, divergent, irregular, preternatural, unnatural. 
aberration	pos: noun 1. A departing from what is prescribed: departure, deviation, divergence, divergency, diversion. 2. The condition of being abnormal: aberrance, aberrancy, abnormality, anomaly, deviance, deviancy, deviation, irregularity, preternaturalness, unnaturalness. 3.  Serious mental illness or disorder impairing a person's capacity to function normally and safely: brainsickness, craziness, dementia, derangement, disturbance, insaneness, insanity, lunacy, madness, mental illness, psychopathy, unbalance.  mania.  alienation. 
abet	pos: verb To give support or assistance: aid, assist, boost, help (out), relieve, succor.  give ( lend) a hand, give a leg up. 
abetment	pos: noun The act or an instance of helping: aid, assist, assistance, hand, help, relief, succor, support. 
abetter	pos: noun 
abettor	pos: noun A person who helps: aid, attendant, help, helper, reliever, succorer. 
abeyance	pos: noun The condition of being temporarily inactive: abeyancy, dormancy, intermission, latency, quiescence, suspension. 
abeyancy	pos: noun The condition of being temporarily inactive: abeyance, dormancy, intermission, latency, quiescence, suspension. 
abeyant	pos: adjective Existing in a temporarily inactive form or state: dormant, inactive, latent, quiescent, sleeping. 
abhor	pos: verb To regard with extreme dislike and hostility: abominate, despise, detest, execrate, hate, loathe. 
abhorrence	pos: noun 1. An object of extreme dislike: abomination, anathema, aversion, bete noire, bugbear, detestation, execration, hate.  horror. 2. Extreme hostility and dislike: abomination, antipathy, aversion, detestation, hate, hatred, horror, loathing, repellence, repellency, repugnance, repugnancy, repulsion, revulsion. 
abhorrent	pos: adjective So objectionable as to elicit despisal or deserve condemnation: abominable, antipathetic, contemptible, despicable, despisable, detestable, disgusting, filthy, foul, infamous, loathsome, lousy, low, mean, nasty, nefarious, obnoxious, odious, repugnant, rotten, shabby, vile, wretched. 
abide	pos: verb 1. To put up with: accept, bear, brook, endure, go, stand (for), stomach, suffer, support, sustain, swallow, take, tolerate, withstand.  lump.  take it, take it lying down. 2. To continue to be in a place: bide, linger, remain, stay, tarry, wait.  stick around.  stay put. 3. To stop temporarily and remain, as if reluctant to leave: bide, linger, pause, stay, tarry, wait. 4. To be in existence or in a certain state for an indefinitely long time: continue, endure, go on, hold out, last, persist, remain, stay. 5. To have as one's domicile, usually for an extended period: domicile, dwell, house, live, reside. 
abide by	pos: verb To act in conformity with: adhere, carry out, comply, conform, follow, keep, mind, obey, observe.  toe the line ( mark). 
abiding	pos: adjective Existing or remaining in the same state for an indefinitely long time: continuing, durable, enduring, lasting, long-lasting, long-lived, longstanding, old, perdurable, perennial, permanent, persistent. 
ability	pos: noun 1. Physical, mental, financial, or legal power to perform: capability, capacity, competence, competency, faculty, might. 2. Natural or acquired facility in a specific activity: adeptness, art, command, craft, expertise, expertness, knack, mastery, proficiency, skill, technique.  know-how. 
abjuration	pos: noun A formal statement of disavowal: palinode, recantation, retractation, retraction, withdrawal. 
abjure	pos: verb To disavow (something previously written or said) irrevocably and usually formally: recall, recant, retract, take back, withdraw. 
ablaze	pos: adjective On fire: afire, aflame, alight, burning, conflagrant, fiery, flaming.  in a blaze, in flames. 
able	pos: adjective Having the ability to perform well: capable, competent, good, skilled, skillful. 
able-bodied	pos: adjective Full of vigor: iron, lusty, red-blooded, robust, strapping, sturdy, vigorous, vital. 
abnormal	pos: adjective Departing from the normal: aberrant, anomalistic, anomalous, atypic, atypical, deviant, divergent, irregular, preternatural, unnatural. 
abnormality	pos: noun The condition of being abnormal: aberrance, aberrancy, aberration, anomaly, deviance, deviancy, deviation, irregularity, preternaturalness, unnaturalness. 
abode	pos: noun A building or shelter where one lives: domicile, dwelling, habitation, home, house, lodging (often used in plural), place, residence.  dig (used in plural). 
abolish	pos: verb 1. To put an end to, especially formally and with authority: abrogate, annihilate, annul, cancel, invalidate, negate, nullify, set aside, vitiate, void.  extinguish. 2. To destroy all traces of: annihilate, blot out, clear, eradicate, erase, exterminate, extinguish, extirpate, kill, liquidate, obliterate, remove, root (out  up), rub out, snuff out, stamp out, uproot, wipe out.  do away with, make an end of, put an end to. 
abolishment	pos: noun An often formal act of putting an end to: abolition, abrogation, annihilation, annulment, cancellation, defeasance, invalidation, negation, nullification, voidance.  avoidance, extinguishment. 
abolition	pos: noun An often formal act of putting an end to: abolishment, abrogation, annihilation, annulment, cancellation, defeasance, invalidation, negation, nullification, voidance.  avoidance, extinguishment. 
abominable	pos: adjective So objectionable as to elicit despisal or deserve condemnation: abhorrent, antipathetic, contemptible, despicable, despisable, detestable, disgusting, filthy, foul, infamous, loathsome, lousy, low, mean, nasty, nefarious, obnoxious, odious, repugnant, rotten, shabby, vile, wretched. 
abominate	pos: verb To regard with extreme dislike and hostility: abhor, despise, detest, execrate, hate, loathe. 
abomination	pos: noun 1. Extreme hostility and dislike: abhorrence, antipathy, aversion, detestation, hate, hatred, horror, loathing, repellence, repellency, repugnance, repugnancy, repulsion, revulsion. 2. An object of extreme dislike: abhorrence, anathema, aversion, bete noire, bugbear, detestation, execration, hate.  horror. 
aboriginal	pos: adjective Existing, born, or produced in a land or region: autochthonal, autochthonic, autochthonous, endemic, indigenous, native. 
abort	pos: verb To bring forth a nonviable fetus prematurely: miscarry, slip. 
abound	pos: verb To be abundantly filled or richly supplied: bristle, crawl, flow, overflow, pullulate, swarm, teem. 
about	pos: adverb 1. Near to in quantity or amount: almost, approximately, nearly, roughly.  on the order of. 2. In or toward a former location or condition: around, back, backward, backwards, rearward, round. 3. Toward the back: around, back, backward, backwards, rearward. 
about-face	pos: verb To turn sharply around: double (back), reverse. 
abracadabra	pos: noun 1. Unintelligible or nonsensical talk or language: double talk, gibberish, gobbledygook, jabberwocky, mumbo jumbo. 2. Esoteric, formulaic, and often incomprehensible speech relating to the occult: gibberish, hocus-pocus, mumbo jumbo. 
abrade	pos: verb To make (the skin) raw by or as if by friction: chafe, excoriate, fret, gall, irritate. 
abridge	pos: verb To make short or shorter the duration or extent of: abbreviate, condense, curtail, reduce, shorten. 
abridgment	pos: noun A short summary or version prepared by cutting down a larger work: abstract, brief, condensation, epitome, synopsis. 
abrogate	pos: verb To put an end to, especially formally and with authority: abolish, annihilate, annul, cancel, invalidate, negate, nullify, set aside, vitiate, void.  extinguish. 
abrogation	pos: noun An often formal act of putting an end to: abolishment, abolition, annihilation, annulment, cancellation, defeasance, invalidation, negation, nullification, voidance.  avoidance, extinguishment. 
abrupt	pos: adjective 1. Happening quickly and without warning: hurried, precipitant, precipitate, sudden. 2. Rudely unceremonious: blunt, brief, brusque, crusty, curt, gruff, short, short-spoken. 3. So sharply inclined as to be almost perpendicular: bold, precipitous, sheer, steep. 
abruptly	pos: adverb Without any warning: short, suddenly.  all of a sudden. 
abscond	pos: verb To break loose and leave suddenly, as from confinement or from a difficult or threatening situation: break out, decamp, escape, flee, fly, get away, run away.  skip (out).  lam.  absquatulate.  cut and run, blow ( fly) the coop, give someone the slip, make a getaway, take flight, take it on the lam. 
absence	pos: noun 1. Failure to be present: nonattendance.  nonappearance. 2. The condition of lacking a needed or usual amount: dearth, lack, want. 
absent	pos: adjective 1. Not present: away, gone, missing, wanting. 2. Deficient in a usual or needed amount: lacking, wanting. 3. So lost in thought as to be unaware of one's surroundings: absent-minded, abstracted, bemused, distrait, faraway, inattentive, preoccupied.  a million miles away. 
absent-minded	pos: adjective So lost in thought as to be unaware of one's surroundings: absent, abstracted, bemused, distrait, faraway, inattentive, preoccupied.  a million miles away. 
absent-mindedness	pos: noun The condition of being so lost in solitary thought as to be unaware of one's surroundings: abstraction, bemusement, brown study, daydreaming, muse, reverie, study, trance. 
absolute	pos: adjective 1. Supremely excellent in quality or nature: consummate, faultless, flawless, impeccable, indefectible, perfect, unflawed. 2. Free from extraneous elements: perfect, plain, pure, sheer, simple, unadulterated, undiluted, unmixed. 3. Without limitations or mitigating conditions: unconditional, unconditioned, unqualified, unreserved. 4. Having no reservations: implicit, unconditional, undoubting, unfaltering, unhesitating, unquestioning, unreserved, wholehearted. 5. Completely such, without qualification or exception: all-out, arrant, complete, consummate, crashing, damned, dead, downright, flat, out-and-out, outright, perfect, plain, pure, sheer, thorough, thoroughgoing, total, unbounded, unequivocal, unlimited, unmitigated, unqualified, unrelieved, unreserved, utter.  flat-out, positive.  blooming. 6. Having and exercising complete political power and control: absolutistic, arbitrary, autarchic, autarchical, autocratic, autocratical, despotic, dictatorial, monocratic, totalitarian, tyrannic, tyrannical, tyrannous. 
absolutely	pos: adverb 1. Without question: certainly, doubtless, doubtlessly, positively, undoubtedly. 2. To the fullest extent: all, altogether, completely, dead, entirely, flat, fully, just, perfectly, quite, thoroughly, totally, utterly, well, wholly.  clean, clear.  in toto, through and through. 3. It is so; as you say or ask: agreed, all right, assuredly, aye, gladly, indubitably, roger, undoubtedly, unquestionably, willingly, yea, yes.  OK, uh-huh, yeah, yep.  right on. 
absolution	pos: noun The act or an instance of forgiving: amnesty, condonation, excuse, forgiveness, pardon, remission. 
absolutism	pos: noun 1. A political doctrine advocating the principle of absolute rule: authoritarianism, autocracy, despotism, dictatorship, totalitarianism. 2. A government in which a single leader or party exercises absolute control over all citizens and every aspect of their lives: autarchy, autocracy, despotism, dictatorship, monocracy, tyranny. 
absolutistic	pos: adjective Having and exercising complete political power and control: absolute, arbitrary, autarchic, autarchical, autocratic, autocratical, despotic, dictatorial, monocratic, totalitarian, tyrannic, tyrannical, tyrannous. 
absolve	pos: verb 1. To free from a charge or imputation of guilt: clear, exculpate, exonerate, vindicate.  acquit, purge. 2. To free from an obligation or duty: discharge, dispense, excuse, exempt, let off, relieve, spare. 
absorb	pos: verb 1. To take in (moisture or liquid): drink, imbibe, soak (up), sop up, take up. 2. To occupy the full attention of: consume, engross, immerse, monopolize, preoccupy. 3. To take in and incorporate, especially mentally: assimilate, digest, imbibe, take up.  soak (up). 
absorbed	pos: adjective Having one's thoughts fully occupied: deep, intent, preoccupied, rapt.  wrapped up in. 
absorbent	pos: adjective Having a capacity or tendency to absorb or soak up: absorptive, assimilative, bibulous. 
absorption	pos: noun 1. The process of absorbing and incorporating, especially mentally: assimilation, digestion. 2. Total occupation of the attention or of the mind: engrossment, enthrallment, immersion, preoccupation, prepossession. 
absorptive	pos: adjective Having a capacity or tendency to absorb or soak up: absorbent, assimilative, bibulous. 
absquatulate	pos: verb  To break loose and leave suddenly, as from confinement or from a difficult or threatening situation: abscond, break out, decamp, escape, flee, fly, get away, run away.  skip (out).  lam.  cut and run, blow ( fly) the coop, give someone the slip, make a getaway, take flight, take it on the lam. 
abstain	pos: verb To hold oneself back: forbear, hold off, keep, refrain, withhold. 
abstemious	pos: adjective Exercising moderation and self-restraint in appetites and behavior: continent, sober, temperate. 
abstinence	pos: noun The practice of refraining from use of alcoholic liquors: dryness, soberness, sobriety, teetotalism, temperance. 
abstract	pos: adjective 1. Existing only in concept and not in reality: hypothetic, hypothetical, ideal, theoretical, transcendent, transcendental. 2. Concerned primarily with theories rather than practical matters: academic, speculative, theoretical. pos: noun A short summary or version prepared by cutting down a larger work: abridgment, brief, condensation, epitome, synopsis. pos: verb 1. To remove from association with: detach, disassociate, disengage, dissociate, withdraw. 2. To give a recapitulation of the salient facts of: epitomize, go over, recapitulate, review, run down, run through, summarize, sum up, synopsize, wrap up.  recap. 
abstracted	pos: adjective So lost in thought as to be unaware of one's surroundings: absent, absent-minded, bemused, distrait, faraway, inattentive, preoccupied.  a million miles away. 
abstraction	pos: noun The condition of being so lost in solitary thought as to be unaware of one's surroundings: absent-mindedness, bemusement, brown study, daydreaming, muse, reverie, study, trance. 
abstruse	pos: adjective Beyond the understanding of an average mind: deep, esoteric, profound, recondite.  heavy. 
absurd	pos: adjective So senseless as to be laughable: foolish, harebrained, idiotic, imbecilic, insane, lunatic, mad, moronic, nonsensical, preposterous, silly, softheaded, tomfool, unearthly, zany.  cockeyed, crazy, loony, loopy.  balmy, dippy, dopey, jerky, sappy, wacky. 
absurdity	pos: noun 1. Something or someone uproariously funny or absurd:  hoot, joke, laugh, scream.  gas, howl, panic, riot.  a laugh a minute. 2. Foolish behavior: folly, foolery, foolishness, idiocy, imbecility, insanity, lunacy, madness, nonsense, preposterousness, senselessness, silliness, tomfoolery, zaniness.  craziness. 
abundance	pos: noun 1. A great deal: mass, mountain, much, plenty, profusion, wealth, world.  barrel, heap, lot, pack, peck, pile.  power, sight. 2. Prosperity and a sufficiency of life's necessities: bounteousness, bountifulness, plenitude, plenteousness, plenty. 
abundant	pos: adjective Characterized by abundance: ample, bounteous, bountiful, copious, generous, heavy, plenitudinous, plenteous, plentiful, substantial, voluminous. 
abuse	pos: verb 1. To use wrongly and improperly: misapply, misappropriate, mishandle, misuse, pervert. 2. To take advantage of unfairly: exploit, impose, presume, use. 3. To hurt or injure by maltreatment: ill-treat, ill-use, maltreat, mishandle, mistreat, misuse. 4. To attack with harsh, often insulting language: assail, rail against ( at), revile, vituperate. pos: noun 1. Wrong, often corrupt use: misapplication, misappropriation, mishandling, misuse, perversion. 2. Physically harmful treatment: ill-treatment, maltreatment, mishandling, mistreatment, misusage. 3. Harsh, often insulting language: billingsgate, contumely, invective, obloquy, railing, revilement, reviling, scurrility, scurrilousness, vituperation. 
abusive	pos: adjective Of, relating to, or characterized by verbal abuse: contumelious, invective, opprobrious, scurrilous, vituperative. 
abut	pos: verb To be contiguous or next to: adjoin, border, bound, butt, join, meet, neighbor, touch, verge. 
abysm	pos: noun Something of immeasurable and vast extent: abyss, chasm, deep, depth (often used in plural), gulf. 
abysmal	pos: adjective 1. Extending far downward or inward from a surface: deep, profound. 2. Open wide: abyssal, cavernous, gaping, yawning. 
abyss	pos: noun Something of immeasurable and vast extent: abysm, chasm, deep, depth (often used in plural), gulf. 
abyssal	pos: adjective Open wide: abysmal, cavernous, gaping, yawning. 
academic	pos: adjective 1. Characterized by a narrow concern for book learning and formal rules, without knowledge or experience of practical matters: bookish, donnish, formalistic, inkhorn, literary, pedantic, pedantical, scholastic. 2. Concerned primarily with theories rather than practical matters: abstract, speculative, theoretical. 
accede	pos: verb To respond affirmatively; receive with agreement or compliance: accept, acquiesce, agree, assent, consent, nod, subscribe, yes. 
accelerate	pos: verb To increase the speed of: expedite, hasten, hurry, hustle, quicken, speed (up), step up. 
accent	pos: noun 1. A particular vocal quality that indicates some emotion or feeling: inflection, intonation, tone.  tone of voice. 2. Special weight placed upon something considered important: accentuation, emphasis, stress. pos: verb To accord emphasis to: accentuate, emphasize, feature, highlight, italicize, play up, point up, stress, underline, underscore. 
accentuate	pos: verb To accord emphasis to: accent, emphasize, feature, highlight, italicize, play up, point up, stress, underline, underscore. 
accentuation	pos: noun Special weight placed upon something considered important: accent, emphasis, stress. 
accept	pos: verb 1. To receive (something given or offered) willingly and gladly: embrace, take (up), welcome. 2. To admit to one's possession, presence, or awareness: have, receive, take. 3. To allow admittance, as to a group: admit, receive, take in. 4. To regard (something) as true or real: believe.  buy, swallow. 5. To perceive and recognize the meaning of: apprehend, catch (on), compass, comprehend, conceive, fathom, follow, get, grasp, make out, read, see, sense, take, take in, understand.  savvy.  dig.  twig.  ken.  get (or have) a handle on, get the picture. 6. To put up with: abide, bear, brook, endure, go, stand (for), stomach, suffer, support, sustain, swallow, take, tolerate, withstand.  lump.  take it, take it lying down. 7. To respond affirmatively; receive with agreement or compliance: accede, acquiesce, agree, assent, consent, nod, subscribe, yes. 
acceptable	pos: adjective 1. Capable of being accepted: admissible, unobjectionable. 2. Of moderately good quality but less than excellent: adequate, all right, average, common, decent, fair, fairish, goodish, moderate, passable, respectable, satisfactory, sufficient, tolerable.  OK, tidy. 
acceptance	pos: noun 1. The act or process of accepting: acquiescence, agreement, assent, consent, nod, yes.  OK. 2. Favorable regard: approbation, approval, favor. 
acceptant	pos: adjective Ready and willing to receive favorably, as new ideas: amenable, open, open-minded, receptive, responsive.  
acceptation	pos: noun That which is signified by a word or expression: connotation, denotation, import, intent, meaning, message, purport, sense, significance, significancy, signification, value. 
accepted	pos: adjective Generally approved or agreed upon: conventional, orthodox, received, recognized, sanctioned. 
access	pos: noun 1. The right to enter or make use of: admission, admittance, entrance, entree, entry, ingress. 2. A sudden violent expression, as of emotion: blowup, burst, eruption, explosion, fit, flare-up, gust, outbreak, outburst. 3. A sudden and often acute manifestation of a disease: attack, fit, seizure.  spell. 
accessible	pos: adjective 1. Being within easy reach: convenient, handy, nearby.  close ( near) at hand, close by. 2. Available for use: employable, open, operable, operative, practicable, usable, utilizable. 3. Easily approached: approachable, responsive, welcoming. 
accession	pos: noun Something tending to augment something else: addition, acquisition, augmentation. 
accessory	pos: noun 1. A subordinate element added to another entity: adjunct, appendage, appurtenance, attachment, supplement. 2. One who assists a lawbreaker in a wrongful or criminal act: accomplice, confederate, conspirator. pos: adjective Giving or able to give help or support: ancillary, assistant, auxiliary, collateral, contributory, subsidiary, supportive. 
accident	pos: noun 1. An unexpected and usually undesirable event: casualty, contretemps, misadventure, mischance, misfortune, mishap. 2. An unexpected random event: chance, fluke, fortuity, hap, happenchance, happenstance, hazard. 
accidental	pos: adjective Occurring unexpectedly: casual, chance, contingent, fluky, fortuitous, inadvertent, odd. 
acclaim	pos: verb 1. To express warm approval of: applaud, commend, compliment, laud, praise. 2. To pay tribute or homage to: celebrate, eulogize, exalt, extol, glorify, hail, honor, laud, magnify, panegyrize, praise.  sing someone's praises. pos: noun An expression of warm approval: acclamation, applause, celebration, commendation, compliment, encomium, eulogy, kudos, laudation, panegyric, plaudit, praise. 
acclamation	pos: noun An expression of warm approval: acclaim, applause, celebration, commendation, compliment, encomium, eulogy, kudos, laudation, panegyric, plaudit, praise. 
acclamatory	pos: adjective Serving to compliment: approbatory, commendatory, complimentary, congratulatory, laudatory. 
acclimate	pos: verb 1. To make or become suitable to a particular situation or use: acclimatize, accommodate, adapt, adjust, conform, fashion, fit, reconcile, square, suit, tailor. 2. To make resistant to hardship, especially through continued exposure: acclimatize, caseharden, harden, indurate, season, toughen. 
acclimation	pos: noun Adjustment to a changing environment: acclimatization.  adaptation. 
acclimatization	pos: noun Adjustment to a changing environment: acclimation.  adaptation. 
acclimatize	pos: verb 1. To make or become suitable to a particular situation or use: acclimate, accommodate, adapt, adjust, conform, fashion, fit, reconcile, square, suit, tailor. 2. To make resistant to hardship, especially through continued exposure: acclimate, caseharden, harden, indurate, season, toughen. 
acclivity	pos: noun An upward slope: ascent, rise. 
accolade	pos: noun 1. Recognition of achievement or superiority or a sign of this: distinction, honor, kudos, laurel (often used in plural). 2. Something given in return for a service or accomplishment: award, guerdon, honorarium, plum, premium, prize, reward.  token of appreciation (or esteem). 3. A memento received as a symbol of excellence or victory: award, prize, trophy. 
accommodate	pos: verb 1. To perform a service or a courteous act for: favor, oblige. 2. To provide with often temporary lodging: bed (down), berth, bestow, billet, board, bunk, domicile, harbor, house, lodge, put up, quarter, room. 3. To have the room or capacity for: contain, hold. 4. To make or become suitable to a particular situation or use: acclimate, acclimatize, adapt, adjust, conform, fashion, fit, reconcile, square, suit, tailor. 5. To bring into accord: attune, conform, coordinate, harmonize, integrate, proportion, reconcile, tune. 
accommodating	pos: adjective Ready to do favors for another: agreeable, complaisant, indulgent, obliging. 
accommodation	pos: noun 1. The act of making suitable to an end or the condition of being made suitable to an end: adaptation, adaption, adjustment, conformation. 2. A settlement of differences through mutual concession: arrangement, compromise, give-and-take, medium, settlement.  composition. 
accompaniment	pos: noun 1. One that accompanies another: associate, attendant, companion, concomitant. 2. Something added to another for embellishment or completion: complement, enhancement, enrichment. 
accompany	pos: verb To be with or go with (another): attend, companion, company, escort.  consort.  go hand in hand with. 
accompanying	pos: adjective Occurring or existing with: attendant, attending, coincident, concomitant, concurrent. 
accomplice	pos: noun One who assists a lawbreaker in a wrongful or criminal act: accessory, confederate, conspirator.  '
accomplish	pos: verb To succeed in doing: achieve, attain, gain, reach, realize.  score. 
accomplished	pos: adjective Proficient as a result of practice and study: finished, practiced. 
accomplishment	pos: noun Something completed or attained successfully: achievement, acquirement, acquisition, attainment, effort, feat. 
accord	pos: verb 1. To come to an understanding or to terms: agree, coincide, concur, get together, harmonize. 2. To be compatible or in correspondence: agree, check, chime, comport with, conform, consist, correspond, fit, harmonize, match, square, tally.  jibe.  quadrate. 3. To let have as a favor, prerogative, or privilege: award, concede, give, grant, vouchsafe. 4. To give formally or officially: award, bestow, confer, grant, present. pos: noun 1. Harmonious mutual understanding: agreement, concord, concordance, concurrence, consonance, harmony, rapport, tune, unity.  meeting of the minds. 2. Pleasing agreement, as of musical sounds: concert, concord, harmony, symphony, tune.  consonance. 3. An act or state of agreeing between parties regarding a course of action: agreement, arrangement, bargain, compact, deal, pact, understanding. 4. A formal, usually written settlement between nations: agreement, concord, convention, pact, treaty. 
accordance	pos: noun 1. The act or state of agreeing or conforming: agreement, chime, conformance, conformation, conformity, congruence, congruity, correspondence, harmonization, harmony, keeping. 2. The act of conferring, as of an honor: bestowal, bestowment, conference, conferment, conferral, grant, presentation. 
accordant	pos: adjective In keeping with one's needs or expectations: agreeable, compatible, conformable, congenial, congruous, consistent, consonant, correspondent, corresponding, harmonious. 
accost	pos: verb 1. To approach for the purpose of speech: greet, hail, salute. 2. To meet face-to-face, especially defiantly: confront, encounter, face, front. 
accouchement	pos: noun The act or process of bringing forth young: birth, birthing, childbearing, childbirth, delivery, labor, lying-in, parturition, travail. 
account	pos: noun 1. A recounting of past events: chronicle, description, history, narration, narrative, report, statement, story, version. 2. A statement of causes or motives: explanation, justification, rationale, rationalization, reason. 3. A precise list of fees or charges: bill, check, invoice, reckoning, statement.  tab. 4. A feeling of deference, approval, and liking: admiration, appreciation, consideration, esteem, estimation, favor, honor, regard, respect. 5. A measure of those qualities that determine merit, desirability, usefulness, or importance: valuation, value, worth. 6. The quality of being suitable or adaptable to an end: advantage, avail, benefit, profit, use, usefulness, utility. pos: verb To look upon in a particular way: consider, deem, esteem, reckon, regard, see, view. 
account for	pos: verb To offer reasons for or a cause of: explain, justify, rationalize. 
accountable	pos: adjective 1. Legally obligated: amenable, answerable, liable, responsible. 2. Capable of being explained or accounted for: decipherable, explainable, explicable, illustratable, interpretable. 
accouter	pos: verb To supply what is needed for some activity or purpose: appoint, equip, fit, fit out ( up), furnish, gear, outfit, rig, turn out. 
accouterment	pos: noun Things needed for a task, journey, or other purpose. Often used in plural: apparatus, equipment, gear, material (used in plural), materiel, outfit, paraphernalia, rig, tackle, thing (used in plural), turnout. 
accoutre	pos: verb 
accoutrement	pos: noun 
accredit	pos: verb 1. To regard as belonging to or resulting from another: ascribe, assign, attribute, charge, credit, impute, lay, refer. 2. To give authority to: authorize, commission, empower, enable, entitle, license, qualify. 
accretion	pos: noun The result or product of building up: buildup, development, enlargement, multiplication, proliferation. 
accrue	pos: verb To bring together so as to increase in mass or number: accumulate, agglomerate, aggregate, amass, collect, cumulate, garner, gather, hive, pile up, roll up. 
acculturate	pos: verb To fit for companionship with others, especially in attitude or manners: civilize, humanize, socialize. 
